Numer_char,Komentarz,Grupa,Dzial,Osoba,sciezka_char
000956,Komentarz458,Grupa 0,Dzial 2,Bernard Ellis ,000011/000096/000321/000956
000957,Komentarz205,Grupa 0,Dzial 2,Jenna Dean,000013/000066/000163/000957
000958,Komentarz936,Grupa 1,Dzial 3,Izydor Patryk,000002/000061/000109/000958
000959,Komentarz807,Grupa 0,Dzial 2,Cora Moody ,000010/000037/000270/000959
000960,Komentarz973,Grupa 0,Dzial 3,Lorraine Cortez ,000018/000071/000128/000960
000961,Komentarz281,Grupa 0,Dzial 3,Janie Grant,000019/000035/000257/000961
000962,Komentarz691,Grupa 2,Dzial 2,Alberto Allison ,000014/000073/000279/000962
000963,Komentarz704,Grupa 1,Dzial 1,Ernestine Mathis ,000012/000058/000193/000963
000964,Komentarz754,Grupa 2,Dzial 2,Christina Nguyen,000018/000086/000180/000964
000965,Komentarz771,Grupa 2,Dzial 1,Diana Pierce ,000010/000075/000156/000965
000966,Komentarz651,Grupa 0,Dzial 2,Bernard Ellis ,000009/000085/000124/000966
000967,Komentarz512,Grupa 2,Dzial 1,Diana Pierce ,000025/000051/000145/000967
000968,Komentarz246,Grupa 0,Dzial 3,Dennis Kelley ,000011/000077/000313/000968
000969,Komentarz344,Grupa 1,Dzial 1,Brett Swanson ,000014/000095/000220/000969
000970,Komentarz93,Grupa 0,Dzial 3,Dennis Kelley ,000019/000065/000252/000970
000971,Komentarz598,Grupa 2,Dzial 3,Corey Mccormick ,000004/000053/000304/000971
000972,Komentarz638,Grupa 2,Dzial 1,Ramiro Thompson,000009/000085/000261/000972
000973,Komentarz683,Grupa 1,Dzial 2,Tanya Bridges ,000005/000030/000315/000973
000974,Komentarz197,Grupa 2,Dzial 1,Ramiro Thompson,000004/000053/000167/000974
000975,Komentarz965,Grupa 2,Dzial 3,Corey Mccormick ,000014/000073/000279/000975
000976,Komentarz648,Grupa 0,Dzial 2,Jenna Dean,000019/000065/000252/000976
000977,Komentarz276,Grupa 0,Dzial 2,Nora Roberts,000009/000032/000293/000977
000978,Komentarz761,Grupa 0,Dzial 3,Janie Grant,000009/000032/000218/000978
000979,Komentarz899,Grupa 0,Dzial 3,Paulette Mcdaniel ,000014/000073/000260/000979
000980,Komentarz160,Grupa 2,Dzial 1,Marta Clarke,000006/000039/000112/000980
000981,Komentarz973,Grupa 2,Dzial 2,Alberto Allison ,000021/000052/000141/000981
000982,Komentarz374,Grupa 2,Dzial 2,Alberto Allison ,000010/000075/000296/000982
000983,Komentarz53,Grupa 0,Dzial 3,Naomi Shelton,000004/000053/000304/000983
000984,Komentarz315,Grupa 2,Dzial 1,Roy Weaver ,000005/000030/000173/000984
000985,Komentarz85,Grupa 0,Dzial 2,Cora Moody ,000009/000047/000165/000985
000986,Komentarz664,Grupa 1,Dzial 2,Tanya Bridges ,000019/000082/000305/000986
000987,Komentarz856,Grupa 0,Dzial 3,Paulette Mcdaniel ,000014/000060/000201/000987
000988,Komentarz78,Grupa 2,Dzial 0,Phil Briggs,000012/000058/000195/000988
000989,Komentarz856,Grupa 0,Dzial 2,Jenna Dean,000008/000062/000200/000989
000990,Komentarz317,Grupa 0,Dzial 2,Bernard Ellis ,000005/000080/000236/000990
000991,Komentarz225,Grupa 0,Dzial 2,Al Welch ,000010/000075/000296/000991
000992,Komentarz558,Grupa 0,Dzial 3,Janie Grant,000018/000071/000203/000992
000993,Komentarz340,Grupa 1,Dzial 1,Orlando Delgado,000010/000037/000129/000993
000994,Komentarz178,Grupa 2,Dzial 3,Corey Mccormick ,000018/000097/000205/000994
000995,Komentarz813,Grupa 1,Dzial 1,Ernestine Mathis ,000023/000078/000142/000995
000996,Komentarz720,Grupa 1,Dzial 1,Orlando Delgado,000004/000031/000274/000996
000997,Komentarz413,Grupa 1,Dzial 1,Luther Ramsey ,000010/000037/000294/000997
000998,Komentarz107,Grupa 2,Dzial 1,Marta Clarke,000008/000062/000200/000998
000999,Komentarz953,Grupa 1,Dzial 1,Ernestine Mathis ,000009/000085/000103/000999
001000,Komentarz329,Grupa 2,Dzial 2,Christina Nguyen,000001/000033/000111/001000
